user_id,plan,start_date,monthly_revenue,status
141,Growth,2024-08-06,99,Active
143,Enterprise,2024-08-04,499,Active
144,Growth,2024-11-06,99,Active
145,Growth,2024-06-18,99,Active
147,Growth,2024-09-11,99,Active
148,Starter,2024-02-12,29,Active
149,Enterprise,2024-04-07,499,Active
152,Starter,2024-03-19,29,Active
155,Enterprise,2024-05-27,499,Active
158,Growth,2024-04-20,99,Active
162,Starter,2024-04-09,29,Active
165,Growth,2024-05-28,99,Active
166,Growth,2025-01-03,99,Active
167,Starter,2024-02-10,29,Cancelled
171,Enterprise,2024-04-19,499,Active
172,Growth,2024-11-21,99,Active
173,Starter,2024-09-03,29,Active
174,Enterprise,2024-03-13,499,Active
176,Growth,2024-06-30,99,Active
177,Starter,2024-04-14,29,Active
178,Growth,2024-06-29,99,Active
180,Growth,2024-03-09,99,Active
183,Starter,2024-08-10,29,Active
184,Starter,2024-08-02,29,Active
187,Starter,2024-04-28,29,Active
188,Starter,2024-12-27,29,Active
189,Enterprise,2024-06-01,499,Active
195,Growth,2024-11-09,99,Active
196,Growth,2024-07-10,99,Active
200,Growth,2024-02-23,99,Active
201,Growth,2024-11-29,99,Active
205,Starter,2024-05-08,29,Active
206,Starter,2024-04-19,29,Active
211,Starter,2024-11-21,29,Active
212,Enterprise,2024-05-17,499,Active
216,Starter,2024-06-13,29,Cancelled
219,Growth,2024-05-10,99,Cancelled
222,Starter,2024-04-25,29,Active
224,Growth,2024-06-30,99,Active
226,Growth,2024-11-04,99,Active
232,Starter,2024-03-18,29,Active
234,Starter,2024-05-27,29,Active
235,Growth,2024-11-06,99,Active
237,Starter,2024-10-11,29,Active
241,Growth,2024-02-12,99,Active
243,Growth,2024-06-02,99,Active
246,Growth,2024-10-19,99,Active
248,Starter,2024-08-03,29,Active
250,Starter,2024-09-27,29,Active
251,Growth,2024-06-25,99,Active
253,Growth,2024-03-22,99,Active
254,Growth,2024-02-24,99,Active
262,Starter,2024-06-06,29,Active
263,Starter,2024-06-04,29,Active
264,Starter,2024-04-10,29,Active
267,Starter,2024-09-12,29,Active
273,Starter,2024-06-11,29,Cancelled
278,Growth,2024-12-15,99,Active
283,Starter,2024-04-03,29,Active
285,Enterprise,2024-02-18,499,Active
286,Enterprise,2024-12-24,499,Active
287,Starter,2024-07-26,29,Active
295,Starter,2024-09-16,29,Active
296,Starter,2024-04-07,29,Active
299,Starter,2024-08-03,29,Active
303,Enterprise,2024-04-15,499,Active
304,Starter,2024-02-26,29,Active
308,Starter,2024-07-11,29,Active
320,Starter,2024-02-19,29,Active
323,Starter,2024-10-07,29,Active
331,Starter,2024-08-15,29,Active
333,Growth,2024-11-03,99,Active
335,Starter,2024-06-24,29,Cancelled
338,Growth,2024-07-12,99,Active
340,Starter,2024-12-08,29,Active
342,Starter,2024-07-06,29,Active
344,Starter,2024-03-03,29,Active
347,Starter,2024-04-05,29,Active
348,Growth,2024-12-17,99,Active
350,Starter,2024-05-12,29,Active
351,Growth,2024-03-15,99,Active
354,Starter,2024-01-12,29,Active
363,Growth,2024-02-09,99,Active
367,Growth,2024-05-17,99,Active
368,Starter,2024-10-05,29,Active
369,Starter,2024-07-22,29,Active
375,Starter,2024-06-22,29,Active
376,Enterprise,2024-09-09,499,Active
383,Starter,2024-12-02,29,Active
385,Starter,2025-01-26,29,Active
386,Growth,2024-02-14,99,Active
389,Starter,2024-12-31,29,Active
394,Enterprise,2024-03-29,499,Active
402,Growth,2024-01-29,99,Active
404,Growth,2024-04-28,99,Cancelled
405,Starter,2024-08-24,29,Active
409,Growth,2024-08-22,99,Active
410,Starter,2024-09-24,29,Active
411,Starter,2024-04-28,29,Active
412,Starter,2024-02-01,29,Active
414,Growth,2024-02-20,99,Active
415,Starter,2024-04-10,29,Active
416,Growth,2024-08-23,99,Cancelled
419,Growth,2024-06-22,99,Active
420,Starter,2024-04-06,29,Active
423,Starter,2024-01-16,29,Cancelled
427,Starter,2024-09-18,29,Active
430,Starter,2024-08-18,29,Active
433,Starter,2024-10-29,29,Active
441,Growth,2024-02-25,99,Cancelled
442,Enterprise,2024-02-06,499,Active
445,Starter,2024-06-22,29,Cancelled
453,Growth,2024-08-19,99,Active
455,Starter,2024-12-01,29,Active
457,Growth,2024-02-05,99,Active
458,Starter,2024-02-04,29,Active
459,Enterprise,2024-07-23,499,Cancelled
460,Growth,2024-11-16,99,Active
465,Starter,2024-10-24,29,Active
466,Starter,2024-12-31,29,Active
469,Growth,2024-02-24,99,Active
471,Growth,2024-04-08,99,Active
472,Enterprise,2024-05-22,499,Active
475,Enterprise,2024-03-15,499,Active
480,Starter,2024-03-12,29,Active
481,Growth,2024-03-13,99,Active
483,Growth,2024-04-21,99,Cancelled
486,Growth,2024-06-01,99,Active
490,Starter,2024-02-19,29,Active
491,Starter,2024-05-31,29,Active
492,Growth,2024-12-07,99,Active
494,Starter,2024-09-23,29,Cancelled
499,Enterprise,2024-07-20,499,Active
501,Starter,2024-05-18,29,Active
507,Starter,2024-05-14,29,Active
508,Starter,2024-05-31,29,Active
516,Starter,2024-08-01,29,Active
518,Starter,2024-11-18,29,Active
519,Starter,2024-02-02,29,Active
520,Starter,2024-09-08,29,Active
522,Growth,2024-06-24,99,Active
523,Starter,2024-06-23,29,Active
527,Starter,2024-01-26,29,Active
528,Growth,2024-11-14,99,Active
530,Growth,2024-08-10,99,Active
532,Starter,2024-05-02,29,Active
534,Growth,2024-09-21,99,Active
545,Growth,2024-06-07,99,Active
546,Growth,2024-07-18,99,Active
547,Enterprise,2024-05-10,499,Active
548,Growth,2024-11-06,99,Active
557,Growth,2024-01-30,99,Active
561,Starter,2024-10-11,29,Active
565,Starter,2024-11-08,29,Active
566,Starter,2024-08-18,29,Active
568,Enterprise,2024-09-15,499,Cancelled
570,Starter,2024-07-12,29,Active
571,Enterprise,2024-01-17,499,Active
574,Starter,2025-01-16,29,Active
576,Growth,2024-09-12,99,Active
579,Starter,2024-02-20,29,Active
581,Starter,2024-09-27,29,Active
582,Growth,2024-04-15,99,Active
583,Growth,2024-03-13,99,Active
584,Growth,2024-03-13,99,Active
589,Starter,2024-07-06,29,Active
594,Enterprise,2024-03-14,499,Active
599,Growth,2024-06-18,99,Active
604,Growth,2024-11-01,99,Active
607,Growth,2024-05-07,99,Active
608,Starter,2024-04-29,29,Active
611,Starter,2024-07-05,29,Active
613,Growth,2024-07-30,99,Active
614,Starter,2024-05-25,29,Active
615,Enterprise,2024-09-11,499,Active
616,Growth,2024-11-10,99,Cancelled
617,Growth,2024-05-24,99,Active
624,Starter,2024-09-17,29,Active
625,Starter,2024-08-06,29,Active
630,Growth,2024-01-31,99,Cancelled
633,Enterprise,2024-07-03,499,Active
634,Enterprise,2024-09-28,499,Active
637,Enterprise,2024-04-20,499,Active
647,Growth,2024-10-03,99,Active
648,Growth,2024-03-11,99,Active
651,Starter,2024-09-16,29,Active
652,Starter,2024-06-25,29,Active
654,Enterprise,2024-09-08,499,Active
655,Growth,2024-02-25,99,Active
656,Growth,2024-11-12,99,Active
657,Enterprise,2024-05-22,499,Active
660,Starter,2024-12-18,29,Active
661,Starter,2024-01-20,29,Active
662,Starter,2024-03-04,29,Active
664,Growth,2024-06-23,99,Cancelled
667,Growth,2024-07-15,99,Active
668,Starter,2024-08-14,29,Active
669,Growth,2024-08-25,99,Active
673,Starter,2024-05-30,29,Active
675,Starter,2024-01-10,29,Active
678,Starter,2024-03-21,29,Active
682,Starter,2024-10-31,29,Active
683,Starter,2024-04-22,29,Active
684,Growth,2024-10-09,99,Active
688,Starter,2024-03-21,29,Active
691,Starter,2024-03-19,29,Active
692,Starter,2024-09-11,29,Active
693,Starter,2024-06-28,29,Active
694,Starter,2024-11-07,29,Active
696,Growth,2024-04-22,99,Active
699,Growth,2025-01-11,99,Cancelled
700,Starter,2025-01-07,29,Cancelled
701,Starter,2024-05-29,29,Cancelled
705,Starter,2024-12-30,29,Active
707,Growth,2024-04-18,99,Active
709,Starter,2024-05-26,29,Active
711,Starter,2024-09-15,29,Active
715,Starter,2024-09-13,29,Active
720,Starter,2024-07-13,29,Cancelled
721,Growth,2024-05-10,99,Cancelled
722,Starter,2024-12-21,29,Active
725,Growth,2024-11-17,99,Active
726,Starter,2024-04-30,29,Active
731,Starter,2024-12-10,29,Active
734,Starter,2024-07-30,29,Active
735,Starter,2024-08-06,29,Active
739,Starter,2024-09-11,29,Active
740,Growth,2024-10-21,99,Active
741,Starter,2024-12-24,29,Active
742,Starter,2024-09-19,29,Active
745,Starter,2024-11-14,29,Active
746,Starter,2024-11-14,29,Active
751,Growth,2024-08-31,99,Active
753,Starter,2024-12-17,29,Active
754,Starter,2024-04-30,29,Active
755,Growth,2024-07-28,99,Active
761,Starter,2024-05-17,29,Active
764,Starter,2024-08-11,29,Active
768,Growth,2024-05-08,99,Cancelled
774,Growth,2024-05-11,99,Active
775,Enterprise,2024-04-13,499,Active
776,Starter,2024-06-05,29,Cancelled
781,Growth,2024-01-11,99,Active
784,Starter,2024-03-18,29,Active
786,Enterprise,2024-12-23,499,Active
788,Enterprise,2024-07-08,499,Active
792,Starter,2024-07-01,29,Active
794,Growth,2024-06-15,99,Cancelled
796,Enterprise,2024-08-01,499,Active
799,Enterprise,2024-07-19,499,Active
800,Starter,2024-08-13,29,Active
805,Starter,2024-12-10,29,Active
806,Starter,2024-06-05,29,Active
809,Growth,2024-05-12,99,Active
811,Starter,2024-07-05,29,Active
812,Growth,2024-12-31,99,Active
814,Starter,2024-04-21,29,Active
817,Starter,2024-11-24,29,Active
818,Growth,2024-07-30,99,Active
819,Growth,2024-04-09,99,Active
820,Starter,2024-10-30,29,Active
821,Starter,2024-01-19,29,Active
822,Starter,2024-05-15,29,Active
825,Growth,2024-08-22,99,Active
826,Starter,2024-10-28,29,Active
829,Starter,2024-06-26,29,Cancelled
830,Starter,2024-01-12,29,Active
831,Starter,2024-06-13,29,Active
832,Enterprise,2024-11-16,499,Cancelled
833,Starter,2024-10-30,29,Active
834,Starter,2024-01-31,29,Active
836,Enterprise,2024-06-21,499,Active
840,Starter,2024-09-14,29,Active
846,Starter,2024-11-16,29,Cancelled
848,Enterprise,2024-10-06,499,Active
850,Growth,2024-03-01,99,Active
851,Starter,2025-01-03,29,Active
852,Starter,2024-04-06,29,Active
857,Starter,2024-03-18,29,Cancelled
858,Starter,2024-03-14,29,Active
859,Starter,2024-12-22,29,Active
860,Growth,2024-02-21,99,Active
862,Starter,2024-06-29,29,Active
870,Starter,2024-04-09,29,Active
871,Enterprise,2024-05-31,499,Cancelled
873,Starter,2024-07-22,29,Active
876,Starter,2024-02-20,29,Active
878,Enterprise,2024-05-31,499,Cancelled
880,Starter,2024-07-18,29,Active
884,Starter,2024-10-20,29,Active
885,Starter,2024-02-29,29,Active
887,Starter,2024-11-21,29,Active
892,Growth,2024-03-24,99,Active
896,Enterprise,2024-08-05,499,Active
897,Growth,2024-04-02,99,Active
902,Enterprise,2024-12-16,499,Active
908,Starter,2024-11-21,29,Active
911,Starter,2024-04-12,29,Active
912,Enterprise,2024-07-05,499,Active
914,Starter,2024-11-13,29,Active
919,Starter,2024-04-08,29,Active
920,Enterprise,2024-03-11,499,Active
922,Growth,2024-04-26,99,Active
931,Enterprise,2024-10-22,499,Active
933,Starter,2024-08-14,29,Active
934,Starter,2024-11-04,29,Active
936,Starter,2024-03-13,29,Active
937,Starter,2024-04-18,29,Active
940,Growth,2024-10-01,99,Active
942,Starter,2024-03-26,29,Cancelled
943,Growth,2024-11-15,99,Active
944,Growth,2024-03-17,99,Active
947,Growth,2024-02-19,99,Active
948,Enterprise,2024-11-20,499,Cancelled
949,Growth,2024-02-17,99,Active
952,Growth,2024-06-25,99,Active
956,Enterprise,2024-08-23,499,Active
958,Growth,2024-06-30,99,Active
961,Starter,2024-07-28,29,Active
963,Starter,2024-12-26,29,Active
966,Starter,2024-05-24,29,Active
967,Growth,2024-02-14,99,Active
968,Growth,2024-05-14,99,Active
970,Growth,2024-09-15,99,Active
977,Starter,2025-01-04,29,Active
983,Starter,2024-08-31,29,Active
984,Growth,2024-11-15,99,Active
985,Starter,2025-01-14,29,Active
986,Starter,2024-12-19,29,Active
988,Growth,2024-09-09,99,Active
994,Growth,2024-03-01,99,Cancelled
999,Starter,2024-03-08,29,Active
1000,Starter,2024-07-08,29,Active
1001,Starter,2024-04-26,29,Active
1006,Enterprise,2024-04-16,499,Active
1008,Growth,2024-07-03,99,Active
1009,Starter,2024-11-14,29,Active
1012,Starter,2024-07-14,29,Cancelled
1014,Enterprise,2024-04-06,499,Cancelled
1016,Growth,2024-08-02,99,Active
1019,Starter,2024-08-17,29,Active
1022,Starter,2025-01-04,29,Active
1023,Growth,2025-01-14,99,Cancelled
1032,Starter,2024-06-07,29,Active
1035,Growth,2024-08-17,99,Active
1037,Growth,2024-07-06,99,Cancelled
1041,Starter,2024-08-19,29,Active
1042,Starter,2024-04-04,29,Active
1045,Starter,2024-01-26,29,Active
1046,Growth,2024-03-04,99,Active
1047,Starter,2024-06-08,29,Active
1052,Enterprise,2024-04-07,499,Active
1053,Enterprise,2024-02-06,499,Active
1054,Growth,2024-09-26,99,Active
1055,Starter,2024-03-04,29,Active
1056,Starter,2024-06-07,29,Active
1058,Starter,2024-02-22,29,Active
1059,Enterprise,2024-08-30,499,Active
1061,Starter,2024-03-18,29,Active
1062,Starter,2024-10-17,29,Active
1064,Enterprise,2024-05-11,499,Active
1069,Starter,2024-10-25,29,Active
1077,Starter,2024-11-04,29,Active
1079,Starter,2024-03-23,29,Active
1080,Starter,2024-11-28,29,Active
1083,Growth,2024-09-13,99,Active
1085,Growth,2024-06-19,99,Active
1086,Growth,2024-05-05,99,Active
1090,Starter,2024-09-13,29,Active
1093,Starter,2024-04-12,29,Active
1094,Growth,2024-06-15,99,Active
1097,Growth,2024-03-21,99,Active
1099,Growth,2025-01-16,99,Active
1104,Growth,2024-11-10,99,Cancelled
1105,Starter,2024-06-09,29,Active
1107,Starter,2024-07-31,29,Active
1108,Starter,2024-05-21,29,Active
1110,Growth,2024-02-04,99,Active
1114,Growth,2024-10-07,99,Active
1116,Growth,2024-07-11,99,Active
1117,Starter,2024-06-28,29,Cancelled
1119,Starter,2024-03-09,29,Active
1122,Enterprise,2024-06-21,499,Active
1125,Growth,2024-03-08,99,Active
1126,Growth,2024-10-13,99,Active
1127,Enterprise,2024-12-27,499,Active
1128,Starter,2024-03-21,29,Active
1130,Growth,2024-01-21,99,Active
1132,Starter,2024-11-10,29,Active
1134,Starter,2024-08-01,29,Active
1138,Starter,2024-11-29,29,Cancelled
1140,Starter,2024-09-16,29,Active
1142,Enterprise,2024-06-18,499,Active
1143,Starter,2024-10-28,29,Active
1145,Growth,2024-11-04,99,Active
1147,Starter,2024-04-07,29,Active
1148,Growth,2024-05-21,99,Active
1150,Growth,2024-02-21,99,Active
1152,Starter,2024-07-16,29,Active
1158,Starter,2024-05-19,29,Active
1159,Starter,2024-03-20,29,Active
1161,Starter,2024-10-15,29,Active
1162,Growth,2024-02-28,99,Active
1163,Growth,2024-10-15,99,Active
1168,Growth,2024-09-12,99,Cancelled
1169,Starter,2024-11-12,29,Active
1171,Starter,2024-01-24,29,Active
1179,Starter,2024-02-17,29,Active
1182,Starter,2024-12-27,29,Cancelled
1183,Starter,2024-09-26,29,Active
1186,Starter,2024-09-24,29,Active
1188,Starter,2024-04-09,29,Active
1190,Growth,2024-03-26,99,Active
1192,Starter,2024-01-26,29,Active
1195,Starter,2024-05-26,29,Active
1198,Growth,2024-09-14,99,Active
1199,Growth,2024-11-27,99,Cancelled
1211,Growth,2024-08-10,99,Active
1212,Growth,2024-03-07,99,Active
1217,Growth,2024-08-14,99,Active
1222,Starter,2024-11-01,29,Active
1223,Growth,2024-11-09,99,Cancelled
1225,Growth,2025-01-01,99,Active
1226,Starter,2024-08-10,29,Active
1228,Starter,2024-03-16,29,Active
1229,Starter,2024-08-19,29,Active
1230,Starter,2024-07-27,29,Active
1235,Starter,2024-11-19,29,Active
1240,Growth,2025-01-20,99,Active
1242,Starter,2024-07-23,29,Cancelled
1245,Starter,2024-03-03,29,Cancelled
1250,Starter,2024-09-16,29,Active
1251,Growth,2024-12-01,99,Active
1257,Enterprise,2024-06-05,499,Active
1258,Growth,2024-09-20,99,Active
1260,Starter,2024-12-04,29,Active
1261,Growth,2024-03-28,99,Cancelled
1262,Growth,2024-11-30,99,Active
1263,Growth,2024-02-19,99,Active
1265,Starter,2024-04-14,29,Active
1268,Starter,2024-08-10,29,Active
1276,Enterprise,2024-11-04,499,Active
1278,Growth,2024-08-15,99,Active
1281,Starter,2024-09-11,29,Active
1283,Starter,2024-02-07,29,Active
1286,Starter,2024-05-25,29,Active
1289,Growth,2024-07-10,99,Active
1293,Starter,2024-02-22,29,Active
1294,Growth,2024-06-17,99,Active
1295,Starter,2024-12-04,29,Active
1298,Growth,2024-03-12,99,Active
1299,Growth,2024-05-17,99,Active
1302,Growth,2024-03-02,99,Active
1305,Starter,2024-10-02,29,Active
1307,Starter,2024-06-01,29,Cancelled
1308,Starter,2024-04-30,29,Active
1310,Starter,2024-06-28,29,Active
1311,Starter,2024-03-13,29,Active
1314,Growth,2024-10-17,99,Active
1316,Growth,2024-06-22,99,Active
1318,Starter,2024-08-27,29,Active
1319,Starter,2024-07-19,29,Active
1321,Starter,2025-01-09,29,Active
1323,Starter,2024-04-15,29,Active
1324,Starter,2024-12-08,29,Active
1325,Starter,2024-09-18,29,Active
1327,Starter,2024-06-22,29,Active
1328,Starter,2024-01-14,29,Active
1329,Starter,2024-09-26,29,Active
1330,Starter,2024-10-12,29,Active
1336,Growth,2024-05-01,99,Active
1337,Enterprise,2024-10-22,499,Active
1338,Starter,2024-06-24,29,Active
1341,Enterprise,2024-12-29,499,Active
1344,Starter,2024-01-12,29,Active
1345,Starter,2025-01-17,29,Cancelled
1346,Starter,2024-06-03,29,Active
1349,Starter,2024-09-23,29,Active
1351,Growth,2024-04-13,99,Active
1354,Enterprise,2024-12-30,499,Active
1356,Enterprise,2024-06-19,499,Cancelled
1360,Growth,2024-01-19,99,Active
1363,Growth,2024-10-30,99,Active
1364,Starter,2024-08-26,29,Active
1365,Starter,2024-12-09,29,Active
1367,Starter,2024-04-25,29,Active
1369,Growth,2024-05-26,99,Active
1371,Growth,2024-12-11,99,Cancelled
1378,Starter,2024-12-15,29,Active
1379,Enterprise,2024-08-20,499,Active
1383,Starter,2024-10-08,29,Active
1386,Starter,2024-06-27,29,Active
1388,Growth,2024-07-08,99,Active
1389,Growth,2024-01-06,99,Active
1393,Growth,2024-10-31,99,Active
1398,Growth,2024-02-17,99,Active
1403,Enterprise,2024-05-23,499,Active
1407,Starter,2024-09-01,29,Active
1409,Starter,2024-03-25,29,Active
1410,Growth,2024-11-15,99,Cancelled
1411,Starter,2024-02-28,29,Active
1414,Starter,2024-10-24,29,Active
1417,Starter,2024-08-04,29,Active
1422,Starter,2024-03-23,29,Active
1423,Starter,2024-04-05,29,Active
1424,Growth,2024-06-15,99,Active
1426,Starter,2024-10-21,29,Active
1429,Starter,2024-04-18,29,Active
1431,Starter,2024-12-18,29,Cancelled
1433,Enterprise,2024-10-17,499,Active
1440,Growth,2024-06-02,99,Active
1442,Starter,2024-03-28,29,Active
1444,Starter,2024-11-26,29,Active
1445,Enterprise,2024-04-11,499,Active
1450,Enterprise,2024-12-29,499,Active
1451,Starter,2024-02-28,29,Active
1454,Starter,2024-08-13,29,Active
1457,Starter,2024-10-26,29,Active
1461,Starter,2024-10-04,29,Active
1462,Starter,2024-05-02,29,Active
1463,Starter,2024-06-01,29,Active
1465,Enterprise,2024-11-17,499,Active
1469,Starter,2024-12-24,29,Active
1473,Starter,2024-02-20,29,Active
1482,Growth,2024-03-31,99,Active
1483,Starter,2024-12-02,29,Active
1487,Starter,2024-04-16,29,Active
1488,Growth,2024-08-31,99,Active
1489,Growth,2024-06-04,99,Active
1491,Starter,2024-01-22,29,Active
1492,Growth,2024-10-12,99,Active
1493,Growth,2024-05-29,99,Active
1495,Growth,2024-11-11,99,Active
1496,Enterprise,2024-06-09,499,Cancelled
1497,Starter,2024-02-02,29,Active
1506,Starter,2024-06-17,29,Active
1509,Enterprise,2024-10-24,499,Active
1510,Growth,2025-01-07,99,Cancelled
1514,Growth,2024-12-16,99,Cancelled
1515,Growth,2024-11-24,99,Active
1517,Growth,2024-03-21,99,Active
1518,Growth,2024-08-10,99,Active
1520,Starter,2025-01-10,29,Active
1522,Starter,2024-01-31,29,Active
1524,Starter,2024-04-13,29,Active
1531,Starter,2024-03-04,29,Active
1534,Enterprise,2024-03-30,499,Active
1539,Growth,2024-09-13,99,Active
1541,Starter,2024-10-13,29,Active
1542,Growth,2024-03-21,99,Active
1543,Starter,2024-04-21,29,Active
1544,Growth,2024-03-30,99,Active
1545,Growth,2025-01-14,99,Cancelled
1554,Starter,2024-11-16,29,Cancelled
1555,Growth,2024-11-17,99,Active
1556,Starter,2024-03-15,29,Active
1558,Growth,2024-08-16,99,Active
1559,Growth,2024-11-25,99,Active
1560,Growth,2024-07-11,99,Active
1565,Growth,2024-07-28,99,Active
1571,Starter,2024-06-10,29,Active
1572,Growth,2024-08-20,99,Active
1577,Starter,2024-09-19,29,Active
1580,Growth,2024-11-17,99,Active
1587,Enterprise,2024-08-21,499,Active
1588,Enterprise,2024-01-11,499,Active
1589,Starter,2024-03-18,29,Active
1590,Growth,2024-02-05,99,Active
1596,Starter,2024-08-30,29,Active
1597,Starter,2024-03-29,29,Cancelled
1599,Growth,2024-03-06,99,Cancelled
1601,Starter,2024-04-13,29,Active
1607,Growth,2024-11-01,99,Active
1613,Starter,2024-01-29,29,Active
1614,Starter,2024-11-09,29,Active
1616,Starter,2024-06-09,29,Active
1618,Growth,2024-12-30,99,Active
1620,Enterprise,2024-10-12,499,Active
1621,Growth,2024-05-24,99,Active
1622,Starter,2024-06-05,29,Active
1624,Growth,2024-07-15,99,Active
1627,Starter,2024-04-13,29,Active
1628,Growth,2024-08-08,99,Active
1629,Starter,2024-05-01,29,Active
1631,Starter,2024-02-15,29,Cancelled
1634,Starter,2024-09-10,29,Active
1639,Growth,2024-03-13,99,Active
1640,Growth,2024-08-30,99,Active
1641,Growth,2024-05-02,99,Active
1642,Starter,2024-06-27,29,Active
1645,Starter,2024-05-16,29,Active
1646,Enterprise,2024-03-10,499,Active
1648,Growth,2024-02-24,99,Active
1649,Starter,2024-05-04,29,Active
1653,Starter,2024-06-17,29,Active
1655,Starter,2024-04-27,29,Cancelled
1658,Starter,2024-05-09,29,Cancelled
1662,Enterprise,2024-02-19,499,Cancelled
1665,Starter,2024-10-26,29,Active
1666,Starter,2024-03-18,29,Active
1668,Starter,2024-12-27,29,Cancelled
1671,Growth,2024-08-13,99,Active
1675,Starter,2024-02-07,29,Active
1677,Starter,2024-02-18,29,Active
1679,Growth,2024-09-10,99,Active
1680,Starter,2024-05-05,29,Active
1682,Growth,2024-02-17,99,Active
1683,Enterprise,2024-01-23,499,Active
1686,Starter,2024-12-08,29,Active
1687,Growth,2024-09-01,99,Active
1689,Growth,2024-10-19,99,Cancelled
1692,Starter,2024-04-23,29,Active
1695,Enterprise,2024-02-08,499,Active
1696,Growth,2024-04-08,99,Active
1697,Starter,2024-06-08,29,Active
1700,Starter,2024-11-13,29,Active
1701,Starter,2024-12-05,29,Active
1702,Starter,2024-07-11,29,Active
1704,Starter,2024-11-29,29,Active
1705,Starter,2024-10-16,29,Active
1706,Starter,2024-12-21,29,Active
1708,Growth,2024-09-17,99,Active
1710,Growth,2024-05-18,99,Active
1712,Growth,2024-04-11,99,Active
1715,Starter,2024-05-03,29,Active
1716,Growth,2024-07-03,99,Active
1719,Growth,2024-04-02,99,Active
1720,Starter,2024-04-30,29,Active
1724,Starter,2024-09-01,29,Active
1725,Growth,2024-05-09,99,Active
1727,Growth,2024-03-11,99,Active
1730,Starter,2024-05-23,29,Active
1731,Enterprise,2024-11-11,499,Active
1732,Starter,2024-08-17,29,Active
1734,Starter,2024-09-15,29,Active
1736,Starter,2024-05-08,29,Active
1738,Enterprise,2024-04-13,499,Active
1739,Starter,2024-02-08,29,Active
1742,Starter,2024-11-27,29,Active
1748,Starter,2024-11-21,29,Active
1749,Growth,2024-12-10,99,Active
1750,Starter,2025-01-09,29,Active
1755,Starter,2024-07-30,29,Active
1757,Enterprise,2025-01-10,499,Active
1758,Starter,2024-11-29,29,Active
1760,Enterprise,2024-04-24,499,Active
1762,Growth,2024-09-29,99,Active
1764,Starter,2024-03-15,29,Active
1769,Starter,2024-10-23,29,Active
1770,Starter,2024-04-05,29,Active
1772,Starter,2024-02-02,29,Active
1773,Enterprise,2024-04-14,499,Active
1774,Enterprise,2024-06-17,499,Active
1775,Starter,2024-04-14,29,Active
1776,Starter,2024-11-12,29,Active
1778,Enterprise,2025-01-01,499,Active
1779,Starter,2024-07-26,29,Active
1786,Starter,2024-06-29,29,Active
1790,Starter,2024-12-18,29,Active
1793,Starter,2024-04-18,29,Active
1794,Growth,2024-10-16,99,Active
1795,Growth,2024-08-03,99,Active
1796,Starter,2024-07-13,29,Active
1797,Starter,2024-07-18,29,Active
1801,Enterprise,2024-02-24,499,Active
1804,Starter,2024-08-14,29,Active
1806,Starter,2024-06-20,29,Active
1808,Growth,2024-05-08,99,Active
1811,Starter,2025-01-11,29,Active
1813,Starter,2024-11-11,29,Active
1819,Starter,2024-08-20,29,Active
1820,Starter,2024-10-10,29,Active
1822,Starter,2024-10-18,29,Active
1823,Enterprise,2024-05-25,499,Active
1824,Starter,2024-07-16,29,Active
1825,Growth,2024-06-03,99,Active
1826,Starter,2024-07-22,29,Active
1827,Growth,2024-10-08,99,Active
